Months,Values
1973 NOV,8.7
1973 DEC,7.1
1974 JAN,-0.7
1974 FEB,-2
1974 MAR,-2
1974 APR,5.5
1974 MAY,6.2
1974 JUN,8.2
1974 JUL,10.3
1974 AUG,9.5
1974 SEP,10.2
1974 OCT,3.3
1974 NOV,3.3
1974 DEC,2.7
1975 JAN,4.1
1975 FEB,3.4
1975 MAR,2.8
1975 APR,-2.6
1975 MAY,-5.8
1975 JUN,-8.2
1975 JUL,-9.9
1975 AUG,-10.6
1975 SEP,-11.1
1975 OCT,-8.4
1975 NOV,-8.4
1975 DEC,-9.1
1976 JAN,-6.6
1976 FEB,-6
1976 MAR,-5.4
1976 APR,-6
1976 MAY,-2.7
1976 JUN,-2.1
1976 JUL,-2.1
1976 AUG,-0.7
1976 SEP,0
1976 OCT,4.2
1976 NOV,4.9
1976 DEC,6.4
1977 JAN,7.1
1977 FEB,6.4
1977 MAR,6.4
1977 APR,3.6
1977 MAY,2.1
1977 JUN,2.8
1977 JUL,3.5
1977 AUG,3.5
1977 SEP,3.5
1977 OCT,4.7
1977 NOV,4.7
1977 DEC,4.7
1978 JAN,0
1978 FEB,1.3
1978 MAR,0
1978 APR,9.7
1978 MAY,9.7
1978 JUN,8.2
1978 JUL,6.8
1978 AUG,8.1
1978 SEP,8.7
1978 OCT,0
1978 NOV,0
1978 DEC,6.4
1979 JAN,1.3
1979 FEB,3.9
1979 MAR,6.7
1979 APR,-2.5
1979 MAY,-1.3
1979 JUN,5.1
1979 JUL,0.6
1979 AUG,-6.9
1979 SEP,-11.1
1979 OCT,-1.3
1979 NOV,4.5
1979 DEC,-1.8
1980 JAN,5.2
1980 FEB,1.3
1980 MAR,1.2
1980 APR,1.9
1980 MAY,1.3
1980 JUN,-6
1980 JUL,-4.4
1980 AUG,2
1980 SEP,4.2
1980 OCT,-5.2
1980 NOV,-11
1980 DEC,-14.7
1981 JAN,-14.3
1981 FEB,-11.2
1981 MAR,-9.9
1981 APR,-10.1
1981 MAY,-13.2
1981 JUN,-10.3
1981 JUL,-4.6
1981 AUG,-3.9
1981 SEP,-4
1981 OCT,2.8
1981 NOV,2.1
1981 DEC,7.2
1982 JAN,7.2
1982 FEB,7.7
1982 MAR,-2.1
1982 APR,2.8
1982 MAY,8.7
1982 JUN,4.3
1982 JUL,7.6
1982 AUG,4.8
1982 SEP,7.6
1982 OCT,3.4
1982 NOV,4.7
1982 DEC,0.7
1983 JAN,9.5
1983 FEB,7.8
1983 MAR,12.6
1983 APR,13
1983 MAY,10.7
1983 JUN,10.3
1983 JUL,9
1983 AUG,8.5
1983 SEP,8.4
1983 OCT,11.7
1983 NOV,9.7
1983 DEC,16
1984 JAN,12.3
1984 FEB,7.3
1984 MAR,9.3
1984 APR,10.3
1984 MAY,9
1984 JUN,16.8
1984 JUL,10.7
1984 AUG,13.3
1984 SEP,13.1
1984 OCT,9.9
1984 NOV,12.9
1984 DEC,10.9
1985 JAN,7.7
1985 FEB,11.9
1985 MAR,13.1
1985 APR,8.8
1985 MAY,10.5
1985 JUN,9.6
1985 JUL,4.3
1985 AUG,3.7
1985 SEP,1.6
1985 OCT,4.8
1985 NOV,1
1985 DEC,0
1986 JAN,0.5
1986 FEB,-3.5
1986 MAR,-4.5
1986 APR,-3.5
1986 MAY,-5.5
1986 JUN,-8.3
1986 JUL,-0.5
1986 AUG,-2.1
1986 SEP,1.6
1986 OCT,3.5
1986 NOV,4.1
1986 DEC,4.7
1987 JAN,-0.5
1987 FEB,7.9
1987 MAR,7.9
1987 APR,4.7
1987 MAY,4.2
1987 JUN,5.8
1987 JUL,5.7
1987 AUG,8.4
1987 SEP,5.6
1987 OCT,1.5
1987 NOV,4.5
1987 DEC,7.4
1988 JAN,9.7
1988 FEB,6.3
1988 MAR,8.8
1988 APR,12.5
1988 MAY,11.7
1988 JUN,15.5
1988 JUL,9.8
1988 AUG,14
1988 SEP,14.5
1988 OCT,12.5
1988 NOV,12.3
1988 DEC,10.1
1989 JAN,10.2
1989 FEB,10
1989 MAR,6.3
1989 APR,7.1
1989 MAY,9.5
1989 JUN,6.1
1989 JUL,8.9
1989 AUG,6.4
1989 SEP,5.9
1989 OCT,8.5
1989 NOV,6.8
1989 DEC,4.2
1990 JAN,5.9
1990 FEB,1.7
1990 MAR,5.9
1990 APR,5.8
1990 MAY,8.3
1990 JUN,4.9
1990 JUL,0.8
1990 AUG,-1.6
1990 SEP,-4
1990 OCT,-5.5
1990 NOV,-5.1
1990 DEC,-4.8
1991 JAN,-1.2
1991 FEB,-2
1991 MAR,-5.6
1991 APR,-7.5
1991 MAY,-8.4
1991 JUN,-7.4
1991 JUL,-2.8
1991 AUG,-6.1
1991 SEP,-1.2
1991 OCT,-2.9
1991 NOV,-1.2
1991 DEC,0
1992 JAN,-6.9
1992 FEB,-2.5
1992 MAR,0.4
1992 APR,0
1992 MAY,-5
1992 JUN,0.8
